transaction_id,sender_account_id,receiver_account_id,transaction_amount,transaction_timestamp,transaction_type,payment_channel,merchant_category,transaction_status,currency,device_id,session_id,user_id,account_age_days,current_balance,account_type,age,occupation,monthly_income,home_country,kyc_status,device_type,registered_device_match,rooted_device,emulator_detected,app_version,authentication_method,otp_verified,biometric_verified,failed_pin_attempts,session_duration,session_trust_score,sim_binding_verified,average_transaction_amount,previous_transaction_timestamp,transactions_last_1h,transactions_last_24h,international_transaction_history,last_transaction_latitude,last_transaction_longitude,last_transaction_city,hour_of_day,day_of_week,market_volatility_index,recipient_seen_before,recipient_verified,recipient_account_age_days,recipient_country,latitude,longitude,city,country,ip_country,RecipientGNNScore,is_fraud
TXN000000134,ACC0080544,ACC0119704,720.99,24/08/2025 17:30,P2P,UPI,Healthcare,Success,INR,DEV0074219,SES00743529,USR061858,3316,28585,Savings,52,Salaried Employee,27671,India,Verified,Android,TRUE,FALSE,FALSE,1.2.0,Password + OTP,TRUE,TRUE,0,124,0.86,TRUE,1994.19,28/12/2025 18:48,3,14,FALSE,19.080189,72.870166,Mumbai,17,Sunday,18.03,1,1,590,India,19.080189,72.870166,Mumbai,India,India,,0
TXN000000143,ACC0129834,ACC0059225,3705.41,22/08/2025 02:49,Bank Transfer,UPI,Utilities,Success,INR,DEV0119624,SES01197024,USR099751,2331,70221,Salary,56,Salaried Employee,38496,India,Verified,Android,TRUE,FALSE,FALSE,1.0.0,PIN,TRUE,FALSE,0,94,0.99,TRUE,1720.6,27/08/2025 11:37,2,15,TRUE,22.563656,88.369909,Kolkata,2,Friday,18.27,1,1,126,India,22.563656,88.369909,Kolkata,India,India,,0
TXN000000226,ACC0037602,ACC0095187,716.88,22/08/2025 06:09,P2M,UPI,Rent,Success,INR,DEV0034507,SES00345415,USR028782,2739,54266,Savings,36,Salaried Employee,23494,India,Verified,Android,TRUE,FALSE,FALSE,1.2.0,Biometric,TRUE,FALSE,4,106,0.93,TRUE,1268.41,30/11/2025 20:42,2,9,FALSE,22.563688,88.358069,Kolkata,6,Friday,16.9,1,1,365,India,22.563688,88.358069,Kolkata,India,India,,0
TXN000000299,ACC0055644,ACC0064735,1815.77,18/08/2025 04:36,P2P,NEFT,Restaurant,Success,INR,DEV0051183,SES00512427,USR042677,981,40769,Current,55,Government Employee,77071,India,Verified,iPhone,TRUE,FALSE,FALSE,1.0.0,Password + OTP,TRUE,FALSE,2,181,0.89,TRUE,1921.15,28/09/2025 22:38,4,4,FALSE,17.381297,78.486618,Hyderabad,4,Monday,24.13,1,1,3095,India,17.381297,78.486618,Hyderabad,India,India,,0
TXN000000335,ACC0123392,ACC0020904,3392.11,23/08/2025 14:44,Bank Transfer,UPI,Shopping,Success,INR,DEV0113648,SES01137331,USR094804,3216,79508,Business,39,Homemaker,8617,India,Verified,iPhone,TRUE,FALSE,FALSE,1.2.0,PIN,TRUE,FALSE,0,27,0.91,TRUE,1431.55,17/12/2025 23:19,0,12,FALSE,28.53273,77.392804,Noida,14,Saturday,19.11,1,1,1266,India,28.53273,77.392804,Noida,India,India,,0
TXN000000612,ACC0083429,ACC0030121,549.7,18/08/2025 21:24,P2M,NEFT,Shopping,Success,INR,DEV0076837,SES00769783,USR064052,365,13919,Business,32,Salaried Employee,74766,India,Verified,Android,TRUE,FALSE,FALSE,2.0.0,Biometric,TRUE,TRUE,0,126,0.87,TRUE,1587.63,23/10/2025 12:05,5,6,FALSE,23.002758,72.56739,Ahmedabad,21,Monday,16.33,1,1,2216,India,23.002758,72.56739,Ahmedabad,India,India,,0
TXN000000686,ACC0106449,ACC0038781,1109.8,19/08/2025 19:46,P2P,RTGS,Groceries,Success,INR,DEV0098012,SES00981265,USR081722,3099,18045,Salary,50,Homemaker,49777,India,Verified,Android,TRUE,FALSE,FALSE,1.1.0,Biometric + OTP,TRUE,FALSE,0,946,0.88,TRUE,1154.45,19/12/2025 03:25,3,13,FALSE,22.587059,88.377902,Kolkata,19,Tuesday,21.98,0,1,1860,India,22.587059,88.377902,Kolkata,India,India,,0
TXN000000758,ACC0070334,ACC0075805,3479.44,22/08/2025 00:29,P2P,Debit Card,Groceries,Success,INR,DEV0064768,SES00648785,USR053983,2147,71799,Business,33,Government Employee,35185,India,Verified,Android,TRUE,FALSE,FALSE,2.0.0,Biometric,TRUE,FALSE,0,14,0.95,TRUE,1876.74,19/12/2025 10:50,4,5,FALSE,19.057369,72.870977,Mumbai,0,Friday,27.34,1,1,712,India,19.057369,72.870977,Mumbai,India,India,,0
TXN000000768,ACC0063937,ACC0114127,1049.3,22/08/2025 17:08,P2M,Net Banking,Restaurant,Success,INR,DEV0058871,SES00589295,USR049075,2827,47876,Salary,46,Salaried Employee,22567,India,Verified,Android,TRUE,FALSE,FALSE,1.0.0,Password + OTP,TRUE,FALSE,0,76,0.94,TRUE,1647.55,30/12/2025 18:25,0,5,FALSE,13.081115,80.257594,Chennai,17,Friday,20.64,1,1,3237,India,13.081115,80.257594,Chennai,India,India,,0
TXN000001173,ACC0118425,ACC0040594,766.92,23/08/2025 21:02,P2M,UPI,Insurance,Success,INR,DEV0109098,SES01092084,USR090968,1762,190966,Salary,75,Retired,23401,India,Verified,Android,TRUE,FALSE,FALSE,1.2.0,Password + OTP,TRUE,FALSE,1,497,0.97,FALSE,1682.71,23/08/2025 21:02,2,17,FALSE,22.570236,88.371333,Kolkata,21,Saturday,26.16,0,1,3125,India,22.570236,88.371333,Kolkata,India,India,,0
TXN000001176,ACC0060174,ACC0118990,1801.33,23/08/2025 16:33,P2M,Credit Card,Shopping,Failed,INR,DEV0055411,SES00554725,USR046189,1902,36871,Savings,31,Salaried Employee,66946,India,Verified,Android,TRUE,FALSE,FALSE,2.0.0,PIN,TRUE,FALSE,0,134,0.94,TRUE,1658.85,06/09/2025 09:14,4,12,FALSE,13.094942,80.27337,Chennai,16,Saturday,11.5,1,1,1856,India,13.094942,80.27337,Chennai,India,India,,0
TXN000001201,ACC0057208,ACC0127083,5002.43,23/08/2025 18:53,P2P,UPI,Fuel,Success,INR,DEV0052649,SES00527001,USR043888,522,52824,Current,63,Retired,19115,India,Verified,iPhone,TRUE,FALSE,FALSE,2.0.0,Password,FALSE,FALSE,0,100,0.87,TRUE,2721.99,06/12/2025 01:24,1,10,FALSE,23.002637,72.591374,Ahmedabad,18,Saturday,18.05,1,1,1982,India,23.002637,72.591374,Ahmedabad,India,India,,0
TXN000001218,ACC0043312,ACC0033282,1765.03,18/08/2025 07:35,P2P,UPI,Shopping,Success,INR,DEV0039781,SES00398323,USR033174,2215,89695,Current,61,Retired,35886,India,Verified,Android,TRUE,FALSE,FALSE,1.2.0,Biometric,TRUE,FALSE,1,120,0.99,TRUE,3323.96,07/11/2025 17:59,1,15,FALSE,17.386561,78.473994,Hyderabad,7,Monday,23.8,1,1,3518,India,17.386561,78.473994,Hyderabad,India,India,,1
TXN000001357,ACC0056470,ACC0103882,480.07,20/08/2025 13:47,Bank Transfer,NEFT,Groceries,Success,INR,DEV0051958,SES00520091,USR043318,842,105456,Salary,35,Salaried Employee,36866,India,Verified,Android,TRUE,FALSE,FALSE,1.1.0,Password + OTP,TRUE,TRUE,3,355,0.86,TRUE,1236.58,21/12/2025 18:28,0,11,FALSE,17.391996,78.485686,Hyderabad,13,Wednesday,23.2,1,1,1538,India,17.391996,78.485686,Hyderabad,India,India,,0
TXN000001489,ACC0113406,ACC0075897,1277.86,20/08/2025 08:40,P2P,Credit Card,Shopping,Failed,INR,DEV0104466,SES01045615,USR087092,3360,33005,Current,30,Salaried Employee,26255,India,Verified,iPhone,TRUE,FALSE,FALSE,1.0.0,Password + OTP,TRUE,TRUE,0,158,0.93,TRUE,3167.82,28/11/2025 22:01,0,12,FALSE,23.036579,72.579557,Ahmedabad,8,Wednesday,21.75,1,0,58,India,23.036579,72.579557,Ahmedabad,India,India,,0
TXN000001582,ACC0059498,ACC0093997,2723.59,23/08/2025 17:29,P2M,UPI,Utilities,Success,INR,DEV0054773,SES00548501,USR045658,203,63447,Savings,52,Salaried Employee,31375,India,Verified,Web,TRUE,FALSE,FALSE,1.1.0,Biometric + OTP,TRUE,TRUE,0,254,1,TRUE,1164.22,23/08/2025 17:29,4,1,FALSE,18.507595,73.86887,Pune,17,Saturday,20.57,1,1,1365,India,18.507595,73.86887,Pune,India,India,,0
TXN000001743,ACC0000981,ACC0105040,2706.54,22/08/2025 23:53,P2P,UPI,Travel,Success,INR,DEV0000891,SES00008811,USR000761,3543,129693,Current,62,Retired,27801,India,Rejected,Android,TRUE,FALSE,FALSE,1.1.0,Biometric + OTP,TRUE,FALSE,0,232,0.99,TRUE,2512.04,29/11/2025 13:16,3,16,FALSE,28.609444,77.217016,Delhi,23,Friday,27.96,1,1,640,India,28.609444,77.217016,Delhi,India,India,,0
TXN000002007,ACC0017035,ACC0100945,2240.42,21/08/2025 02:58,Bank Transfer,Debit Card,Groceries,Success,INR,DEV0015627,SES00156312,USR013064,1428,41928,Current,65,Business Owner,268429,India,Verified,Android,TRUE,FALSE,FALSE,1.1.0,Password,TRUE,TRUE,0,278,0.91,TRUE,2555.36,21/08/2025 02:58,5,14,FALSE,28.548597,77.379036,Noida,2,Thursday,16.98,0,0,2903,India,28.548597,77.379036,Noida,India,India,,0
TXN000002065,ACC0071561,ACC0129704,163.38,19/08/2025 00:20,P2M,UPI,Fuel,Success,INR,DEV0065892,SES00660073,USR054924,364,81197,Current,69,Retired,29140,India,Verified,Android,TRUE,TRUE,FALSE,2.0.0,Biometric + OTP,TRUE,TRUE,1,113,0.76,TRUE,2494.84,15/12/2025 16:45,1,6,FALSE,19.071355,72.866259,Mumbai,0,Tuesday,19.69,1,1,556,India,19.071355,72.866259,Mumbai,India,India,,0
TXN000002251,ACC0010923,ACC0100329,1055.67,23/08/2025 02:05,P2M,UPI,Groceries,Success,INR,DEV0010011,SES00100358,USR008390,1398,24640,Current,72,Retired,21199,India,Verified,Android,TRUE,FALSE,FALSE,2.0.0,Password + OTP,TRUE,FALSE,0,179,0.88,TRUE,1783.38,28/10/2025 05:24,1,16,FALSE,23.011454,72.580096,Ahmedabad,2,Saturday,12.75,1,1,362,India,23.011454,72.580096,Ahmedabad,India,India,,0
TXN000002313,ACC0065717,ACC0015958,4161.23,22/08/2025 09:48,Bank Transfer,IMPS,Investment,Success,INR,DEV0060497,SES00605749,USR050426,2197,57612,Business,43,Self-employed,112000,India,Verified,Android,TRUE,FALSE,FALSE,1.0.0,Password + OTP,TRUE,FALSE,4,218,0.88,TRUE,1962.31,22/08/2025 09:48,3,18,FALSE,22.554237,88.370042,Kolkata,9,Friday,11.17,1,1,1078,India,22.554237,88.370042,Kolkata,India,India,,0
TXN000002596,ACC0045795,ACC0024420,166.49,19/08/2025 13:56,P2M,UPI,Restaurant,Success,INR,DEV0042089,SES00421080,USR035090,3276,73707,Savings,27,Salaried Employee,25482,India,Verified,Android,TRUE,FALSE,FALSE,2.0.0,Biometric,TRUE,FALSE,1,132,0.9,TRUE,2962.83,19/08/2025 13:56,4,18,TRUE,23.023313,72.580157,Ahmedabad,13,Tuesday,16.86,1,0,530,India,23.023313,72.580157,Ahmedabad,India,India,,0
TXN000002666,ACC0064445,ACC0096157,1034.02,20/08/2025 05:38,P2M,Credit Card,Salary,Success,INR,DEV0059339,SES00594000,USR049466,1673,31281,Salary,75,Retired,20217,India,Verified,Android,FALSE,FALSE,FALSE,1.1.0,PIN,TRUE,FALSE,0,85,0.78,TRUE,1681.55,20/08/2025 05:38,3,7,FALSE,23.003158,72.569879,Ahmedabad,5,Wednesday,10.19,0,1,2307,India,23.003158,72.569879,Ahmedabad,India,India,,0
TXN000002782,ACC0115479,ACC0025062,6235.76,23/08/2025 18:39,P2M,UPI,Insurance,Success,INR,DEV0106382,SES01064796,USR088702,765,12695,Business,55,Salaried Employee,38615,India,Pending,iPhone,TRUE,FALSE,FALSE,1.2.0,Password + OTP,TRUE,FALSE,3,138,0.94,TRUE,2570.53,24/10/2025 13:34,3,14,FALSE,28.542138,77.395699,Noida,18,Saturday,18.69,0,1,2077,India,28.542138,77.395699,Noida,India,India,,0
TXN000002911,ACC0055214,ACC0084464,806.86,20/08/2025 13:54,P2P,Net Banking,Entertainment,Success,INR,DEV0050772,SES00508252,USR042341,3462,32267,Current,51,Business Owner,180948,India,Verified,Android,TRUE,FALSE,FALSE,1.1.0,PIN,TRUE,TRUE,0,135,0.86,TRUE,5832.57,20/08/2025 13:54,5,19,FALSE,17.384681,78.494489,Hyderabad,13,Wednesday,11.12,1,1,3277,India,17.384681,78.494489,Hyderabad,India,India,,0
TXN000002969,ACC0033554,ACC0007225,2827.25,22/08/2025 22:04,P2M,Credit Card,Utilities,Success,INR,DEV0030827,SES00308506,USR025701,165,77621,Current,70,Business Owner,162118,India,Verified,Android,TRUE,FALSE,FALSE,2.0.0,PIN,TRUE,FALSE,2,424,0.98,TRUE,2777.55,10/12/2025 06:52,4,8,FALSE,17.369315,78.498415,Hyderabad,22,Friday,24.21,1,1,906,India,17.369315,78.498415,Hyderabad,India,India,,0
TXN000003251,ACC0016225,ACC0124584,2346.35,22/08/2025 15:59,Bank Transfer,UPI,Shopping,Success,INR,DEV0014878,SES00148740,USR012435,2070,66262,Business,41,Salaried Employee,35248,India,Pending,Android,TRUE,FALSE,FALSE,1.2.0,PIN,TRUE,FALSE,0,268,0.98,TRUE,1971.53,08/12/2025 05:26,2,20,FALSE,23.038623,72.572547,Ahmedabad,15,Friday,19.22,1,1,855,India,23.038623,72.572547,Ahmedabad,India,India,,0
TXN000003255,ACC0006822,ACC0125983,1899.23,21/08/2025 14:41,Bank Transfer,UPI,Entertainment,Success,INR,DEV0006223,SES00062446,USR005244,1509,382182,Salary,72,Business Owner,189728,India,Verified,iPhone,TRUE,FALSE,FALSE,1.1.0,PIN,TRUE,FALSE,0,72,0.93,TRUE,2265.89,10/12/2025 20:14,5,9,FALSE,18.536618,73.856676,Pune,14,Thursday,26.78,1,0,1485,India,18.536618,73.856676,Pune,India,India,,0
TXN000003408,ACC0070578,ACC0078238,3495.73,19/08/2025 07:30,P2M,UPI,Utilities,Success,INR,DEV0064999,SES00651115,USR054179,924,109438,Business,74,Retired,53881,India,Verified,Android,TRUE,FALSE,FALSE,2.0.0,PIN,TRUE,TRUE,0,174,0.94,TRUE,1831.58,19/12/2025 22:40,0,9,FALSE,13.09379,80.283839,Chennai,7,Tuesday,25.3,1,1,2059,India,13.09379,80.283839,Chennai,India,India,,0
